+-------------------------+-----------------+------------+-----------+-----------+---------+
|       Class Name        | Total Coverage% | Cvrd Stmts | Ttl Stmts | Cvrdd Brs | Ttl Brs |
+-------------------------+-----------------+------------+-----------+-----------+---------+
|       client.App        |        0        |     0      |    20     |     0     |    4    |
|       server.App        |        0        |     0      |    16     |     0     |    4    |
|  server.ServerHandler   |        0        |     0      |    79     |     0     |    8    |
|     shared.Message      |        0        |     0      |    45     |     0     |    0    |
|      client.Player      |        2        |     4      |    168    |     0     |   30    |
|      client.Client      |        6        |     4      |    57     |     0     |    2    |
|      server.Server      |        9        |     3      |    30     |     0     |    2    |
|       server.Move       |       28        |     7      |    19     |     0     |    6    |
|   server.AssignUnits    |       46        |     6      |    11     |     0     |    2    |
|      server.Parser      |       67        |     62     |    87     |     8     |   16    |
|    shared.Territory     |       74        |     20     |    27     |     0     |    0    |
| server.AssignTerritory  |       80        |     4      |     5     |     0     |    0    |
|    shared.BasicUnit     |       86        |     11     |    13     |     2     |    2    |
|      server.Attack      |       88        |     24     |    27     |     7     |    8    |
|     client.AppTest      |       100       |     0      |     0     |     0     |    0    |
|    client.ClientTest    |       100       |     9      |     9     |     0     |    0    |
| server.ExecutorFactory  |       100       |     0      |     0     |     0     |    0    |
|server.InitializerFactory|       100       |     0      |     0     |     0     |    0    |
|     server.Executor     |       100       |     0      |     0     |     0     |    0    |
|   server.Initializer    |       100       |     0      |     0     |     0     |    0    |
|     server.AppTest      |       100       |     0      |     0     |     0     |    0    |
|    server.ServerTest    |       100       |     78     |    78     |     0     |    0    |
|     server.RiscTest     |       100       |     69     |    69     |     0     |    0    |
| projectRisc.GameMapTest |       100       |     46     |    46     |     0     |    0    |
|      shared.Map2p       |       100       |     10     |    10     |     0     |    0    |
|   shared.MapAssigned    |       100       |     30     |    30     |     0     |    0    |
|     shared.MapState     |       100       |     0      |     0     |     0     |    0    |
|      shared.Map5p       |       100       |     27     |    27     |     0     |    0    |
|      shared.Map4p       |       100       |     21     |    21     |     0     |    0    |
|       shared.Unit       |       100       |     0      |     0     |     0     |    0    |
|     shared.GameMap      |       100       |     98     |    98     |    34     |   34    |
|     shared.Context      |       100       |     2      |     2     |     0     |    0    |
|      shared.Map3p       |       100       |     27     |    27     |     0     |    0    |
|     shared.Library      |       100       |     1      |     1     |     0     |    0    |
|   shared.GameMapTest    |       100       |     81     |    81     |     0     |    0    |
|   shared.LibraryTest    |       100       |     2      |     2     |     0     |    0    |
+-------------------------+-----------------+------------+-----------+-----------+---------+
|         Totals          |       56        |    646     |   1105    |    51     |   118   |
+-------------------------+-----------------+------------+-----------+-----------+---------+


Remove Colors From All Buffers
